Justificativa,Justificativa_processada,Classificacao
atraso na redinção do onibus,atraso na redincao do onibus,
Interjornada,interjornada,
preventiva do canhao.2,preventiva do canhao.2,
prventiva do canhao,prventiva do canhao,
atividade na lança movel,atividade na lanca movel,
atividade realizada na lança movel,atividade realizada na lanca movel,
atividade realizada. ponte 31 PR 01,atividade realizada. ponte 31 pr 01,
atendimento preventiva canhao e perfurador,atendimento preventiva canhao e perfurador,
atendimento plantidão,atendimento plantidao,
preventiva ponte 31 PR 01,preventiva ponte 31 pr 01,
atendimento perfurador,atendimento perfurador,
atividade perfurador,atividade perfurador,
preventiva canhao 1,preventiva canhao 1,
fabricar / instalar protecao sonda mecanica 2,fabricar / instalar protecao sonda mecanica 2,
preventiva canhao1,preventiva canhao1,
preventiva 2,preventiva 2,
troca de tubulacao de arcomprimido,troca de tubulacao de arcomprimido,
trocas de chapa do piso das val de alivio,trocas de chapa do piso das val de alivio,
demanda furo de gusa 3,demanda furo de gusa 3,
preventiva canhao 4,preventiva canhao 4,
preventiva canal 1,preventiva canal 1,
Troca dos parafusos do braço do moinho 3.,troca dos parafusos do braco do moinho 3.,
VALVULA PCV DO HS3,valvula pcv do hs3,
Desmontagem do rotor do ventilador de ar de combustão n1.,desmontagem do rotor do ventilador de ar de combustao n1.,
Troca do motor do içamento auxiliar da ponte PR 01 ( casa de correria AF03 ).,troca do motor do icamento auxiliar da ponte pr 01 ( casa de correria af03 ).,
"Carregamento do AF03 , Troca de tambor .","carregamento do af03 , troca de tambor .",
"RETIRADA DO JIB , AF03 CASA DE CORRIDA .","retirada do jib , af03 casa de corrida .",
bomba agua fria AF03,bomba agua fria af03,
Acompanhamento de estabilidade AF03,acompanhamento de estabilidade af03,
Blackout geral,blackout geral,
"Redutor de giro do jib , levar para oficina central.","redutor de giro do jib , levar para oficina central.",
Grande reparo do LTQ,grande reparo do ltq,
Grande reparo do LTQ / VOTAÇÃO PELA MANHA .,grande reparo do ltq / votacao pela manha .,
"Retira da chapa termica do canal 3 , AF3.","retira da chapa termica do canal 3 , af3.",
Atividade de atendimento a operação da casa de corrida da AF3.,atividade de atendimento a operacao da casa de corrida da af3.,
ATENDIMENTO DESOBSTRUÇÃO DO PUG MIL,atendimento desobstrucao do pug mil,
Apoio ao Turno.,apoio ao turno.,
reforço ao turno mecanico,reforco ao turno mecanico,
preveentiva canal 2,preveentiva canal 2,
preventiva canal 2,preventiva canal 2,
lanca movel af1,lanca movel af1,
lanca movel,lanca movel,
organizacao e identificaçao de material e descate de sucata.,organizacao e identificacao de material e descate de sucata.,
montagem de conjuntos JIB 01 AF01,montagem de conjuntos jib 01 af01,
preventiva canhao 01,preventiva canhao 01,
preventiva  canhao 03,preventiva  canhao 03,
alinhamento de bomba refigeraçao,alinhamento de bomba refigeracao,
acompamnhamento do af1,acompamnhamento do af1,
troca da marreta perfurador 04,troca da marreta perfurador 04,
atuacao com turno,atuacao com turno,
repozicionamento da viga CBG 02,repozicionamento da viga cbg 02,
emrgencia jib 02,emrgencia jib 02,
suporte a casa de corrida operaçao,suporte a casa de corrida operacao,
acompanhamento casa de corrida,acompanhamento casa de corrida,
acompanhamento a casa de corrida AF01,acompanhamento a casa de corrida af01,
canhao 04,canhao 04,
instalaçao suporte cbg,instalacao suporte cbg,
preventiva canal 01,preventiva canal 01,
SUBISTITUIÇÃO,subistituicao,
RETORNO INJEÇÃO AF03,retorno injecao af03,
ATENDIMENTO VÁLVULA CONTROLE FCV7742 ( CONTROLE PRESSÃO DO CIRCUITO ),atendimento valvula controle fcv7742 ( controle pressao do circuito ),
TROCA DO MOTOR - VENTILADOR PRINCIPAL MOAGEM 3,troca do motor - ventilador principal moagem 3,
MOAGEM 3 - OCORRÊNCIA VENTILADOR PRINCIPAL,moagem 3 - ocorrencia ventilador principal,
RETORNO MOAGEM 3 - LIMPEZA SILO DE CARVÃO BRUTO,retorno moagem 3 - limpeza silo de carvao bruto,
DIFICULDADE DE RETORNO MOAGEM 1 E 2,dificuldade de retorno moagem 1 e 2,
ACOMPANHAR RETORNO DE FORNO - AF03,acompanhar retorno de forno - af03,
TROCA DO MOTOR IÇAMENTO AUX 38-PR-01,troca do motor icamento aux 38-pr-01,
APOIO A MECANICA NA TROCA DO DISTRIBUIDOR DE GRAXA DO ELEMENTO 1 ( LIGAR BOMBA E ABRIR VÁLVULA ),apoio a mecanica na troca do distribuidor de graxa do elemento 1 ( ligar bomba e abrir valvula ),
TROCA DOS TERMOPARES CHAPA DE COBRE - CANAL 3,troca dos termopares chapa de cobre - canal 3,
NORMALIZAR ALIMENTAÇÃO 440V PLANTA DOSAGEM QUÍMICA,normalizar alimentacao 440v planta dosagem quimica,
APOIO NA OCORRENCIA DO AV CARREGAMENTO AF03,apoio na ocorrencia do av carregamento af03,
BLOQUEIO/DESBLOQUEIO BDL 3 E 4 PARA DESOBSTRUÇÃO DA LINHA,bloqueio/desbloqueio bdl 3 e 4 para desobstrucao da linha,
RETORNO DE FORNO,retorno de forno,
RETORNO AF03 / BOMBA 3 TQ ÁGUA FRIA,retorno af03 / bomba 3 tq agua fria,
IMPEDIMENTO BBA 3 - TQ ÁGUA FRIA - VOLTAR COM A BBA VELHA,impedimento bba 3 - tq agua fria - voltar com a bba velha,
ATENDIMENTO MOTOR IÇAMENTO ESPERSSADOR  2 / ACOMPANHAR INSTABILIDADE DO FORNO,atendimento motor icamento esperssador  2 / acompanhar instabilidade do forno,
TROCA DA BBA 3 TQ ÁGUA FRIA,troca da bba 3 tq agua fria,
QUEIMA DO MOTOR IÇAMENTO AUX 38PR01,queima do motor icamento aux 38pr01,
PEGAR MOTOR NA OFICINA ELÉTRICA,pegar motor na oficina eletrica,
FABRICAÇÃO AREA DO GAS,fabricacao area do gas,
APOIO FIXO NO PATIO DE CARVÃO DEVIDO A DESCARGA,apoio fixo no patio de carvao devido a descarga,
ATENDIMENTO A LOCOMOTIVA,atendimento a locomotiva,
ATENDIMENTO A ROTINA ADM,atendimento a rotina adm,
ATENDIMENO AO TURNO DEVIDO P AFASTAMENTO DO FERNANDO,atendimeno ao turno devido p afastamento do fernando,
FABRICAÇÃO DE DISPOSITIVO PARA SANAR ANOMALIA,fabricacao de dispositivo para sanar anomalia,
ATIVIDADE GUIA 3,atividade guia 3,
MANOBRA DO TRUCK DO GUIA/ APOIO AO TURNO APOS SAIDA DO RAFAEL OBDES,manobra do truck do guia/ apoio ao turno apos saida do rafael obdes,
ATENDIMENTO AO TURNO NO LUGAR DO RAFAEL OBEDES,atendimento ao turno no lugar do rafael obedes,
APOIO AO ADM,apoio ao adm,
TROCA DE VALVULAS PAVIMENTO MEDIO,troca de valvulas pavimento medio,
ATENDIMENTO ATIVIDADES NO ADM,atendimento atividades no adm,
demanda alta na area,demanda alta na area,
TUBULAÇÃO DE NG,tubulacao de ng,
TROCA DE TUBULAÇÃO BATERIA 2,troca de tubulacao bateria 2,
TROCA DE CHAPA DE PISO CDQ\TROCA DO NOBRECK,troca de chapa de piso cdq\troca do nobreck,
ATIVIDADE BARRAMENTO\LIMPEZA DAS BANDEJAS BATERIA 4,atividade barramento\limpeza das bandejas bateria 4,
TROCA DO CILINDRO BLIDER,troca do cilindro blider,
PREPARAÇÃO E RECOLHIMENTO DE SUCATA,preparacao e recolhimento de sucata,
APOIO A ELETRICA NA TROCA DO PAINEL CDQ,apoio a eletrica na troca do painel cdq,
ATIVIDADES DIVERÇAS\ MD2 TENSONAMENTO CABO,atividades divercas\ md2 tensonamento cabo,
FECHAMENTO DA PORTARIA POR PARALIZAÇÃO DA CONTRATADA A ESPERA DA RENDIÇÃO CHEGAR NA AREA,fechamento da portaria por paralizacao da contratada a espera da rendicao chegar na area,
ajuste de escala,ajuste de escala,
supri nessecidade patio de carvao e turno,supri nessecidade patio de carvao e turno,
apoio ao patio de carvao,apoio ao patio de carvao,
demanda do turno,demanda do turno,
apoio ao patio de carvao e turno,apoio ao patio de carvao e turno,
apoio patio de carvao,apoio patio de carvao,
lugar do flavio,lugar do flavio,
troca de turno,troca de turno,
emprestado para equipe do coque,emprestado para equipe do coque,
cobrindo ferias do flavio,cobrindo ferias do flavio,
apoio a letra B,apoio a letra b,
apoio a letra b junio anoite,apoio a letra b junio anoite,
cubrindo ferias do juninho,cubrindo ferias do juninho,
ferias letra b,ferias letra b,
feriado,feriado,
recebimento,recebimento,
trenamento nr35,trenamento nr35,
hora solicitada pelo supervisor,hora solicitada pelo supervisor,
realocacao no patio de materiais para alditoria interna,realocacao no patio de materiais para alditoria interna,
cobrindo o colega cladinei afastamento medico,cobrindo o colega cladinei afastamento medico,
lugar do colaborador fabio esta de ferias,lugar do colaborador fabio esta de ferias,
trocado com flavio para ele ir para peneira,trocado com flavio para ele ir para peneira,
FALTA DE ONIBUS,falta de onibus,
"INSTALAÇÃO DE VÁLVULA DE 3"" POLEGADAS DE ÁGUA","instalacao de valvula de 3"" polegadas de agua",
RETIRADA DE MATERIAL NO TOPO DA CTP,retirada de material no topo da ctp,
TROCA DA ANTI-CALHA PV 04,troca da anti-calha pv 04,
TROCA DA ANTI CALHA DA PV 05,troca da anti calha da pv 05,
AGUARDANDO O RETORNO DO AF 01,aguardando o retorno do af 01,
EFETIVO MINIMO DO AF1 COM SUP: GLEIDSON,efetivo minimo do af1 com sup: gleidson,
Rainério- Atendimento Pátio,rainerio- atendimento patio,
RAINÉRIO- Bloqueio elétrico,rainerio- bloqueio eletrico,
Luciano- Cobrindo férias,luciano- cobrindo ferias,
Rainério- Continuidade no atendimento devido atraso de ônibus da próxima equipe.,rainerio- continuidade no atendimento devido atraso de onibus da proxima equipe.,
Rainerio- atendimento Pátio de Carvão,rainerio- atendimento patio de carvao,
Rainerio- Atendimento t.gás- acompanhar equipe SGS Valvula de saída ES0505.,rainerio- atendimento t.gas- acompanhar equipe sgs valvula de saida es0505.,
Luciano- Atendimento T.gás,luciano- atendimento t.gas,
Luciano- Bloqueio elétrico,luciano- bloqueio eletrico,
Luciano- Cobrindo Samuel Periódico,luciano- cobrindo samuel periodico,
Luciano- Atendimento P.Carvão BC214,luciano- atendimento p.carvao bc214,
Luciano- Atendimento T.gás PC0501H,luciano- atendimento t.gas pc0501h,
Luciano- Bloqueio e desbloqueio RP207 e MGCK22,luciano- bloqueio e desbloqueio rp207 e mgck22,
Luciano- Bloqueio e desbloqueio   MGCK22,luciano- bloqueio e desbloqueio   mgck22,
Luciano- Atendimento Pátio de Carvão,luciano- atendimento patio de carvao,
Jonathan- Atendimento Pátio de Carvão,jonathan- atendimento patio de carvao,
Luciano- Atividade modulo WF14.,luciano- atividade modulo wf14.,
Luciano- Atendimento P.Carvão,luciano- atendimento p.carvao,
Luciano- Atendimento BR4,luciano- atendimento br4,
Luciano- Atendimento P.Carvão RECEBIMENTO,luciano- atendimento p.carvao recebimento,
Atendimento P.Carvão RECEBIMENTO,atendimento p.carvao recebimento,
Luciano-  Escala de final de semana apoio ao turno.,luciano-  escala de final de semana apoio ao turno.,
Luciano- bloqueio elétrico,luciano- bloqueio eletrico,
Luciano- Atividade Precipitadores,luciano- atividade precipitadores,
Luciano- Atendimento turno,luciano- atendimento turno,
Jonathan- Bloqueio elétrico,jonathan- bloqueio eletrico,
RASTREAMENTO E IDENTICAÇÃO DOS CABOS DE AÇO DA FERRAMENTARIA,rastreamento e identicacao dos cabos de aco da ferramentaria,
PREPARÃÇÃO DE MATERIAIS PARA SEREM ENVIADOS PARA O ESTOQUE,preparacao de materiais para serem enviados para o estoque,
INSPENCIONA O EQUIPAMENTO IÇAMENTO DA FERRAMENTARIA,inspenciona o equipamento icamento da ferramentaria,
AUXILIAR NA INSTALAÇÃO DE PLACAS DE IDENTIFICAÇÃO DO ESTOQUE AVANÇADO.,auxiliar na instalacao de placas de identificacao do estoque avancado.,
Atendimento CB do HS-04,atendimento cb do hs-04,
ATENDIMENTO BALÃO DE PÓ,atendimento balao de po,
Atendimento Balão de Pó,atendimento balao de po,
Troca da BGV,troca da bgv,
Troca da bomba 3 de Ventaneiras,troca da bomba 3 de ventaneiras,
Atendimento Bomba 01 Staves,atendimento bomba 01 staves,
Atendimento da PRV-01.,atendimento da prv-01.,
Atendimento septum 01.,atendimento septum 01.,
Atendimento tnque de lama,atendimento tnque de lama,
Troca do Pirômetro de HS 2.,troca do pirometro de hs 2.,
Atendimento transmissor da BDL-04,atendimento transmissor da bdl-04,
Reparo na gaveta 2R CCM do Af-02 sala eletrica do Craaf,reparo na gaveta 2r ccm do af-02 sala eletrica do craaf,
Bomba de Ventaneiras 01,bomba de ventaneiras 01,
Acompanhamento Bomba de Ventaneiras 01,acompanhamento bomba de ventaneiras 01,
Normalizar rede sistema eletrico.,normalizar rede sistema eletrico.,
Acompamhar retorno do AF-01 / TRT.,acompamhar retorno do af-01 / trt.,
Atendimento no AF-01 devido Blackout,atendimento no af-01 devido blackout,
Atendimento devido Af-01 estar parado. ( Blackout ),atendimento devido af-01 estar parado. ( blackout ),
Montagem e Ajuste dos limites da REV,montagem e ajuste dos limites da rev,
"Realizar inspeções, Prontidão de Natal.","realizar inspecoes, prontidao de natal.",
"Acompanhar Af-01, devido instabilidade operacional.","acompanhar af-01, devido instabilidade operacional.",
Atendimento devido Af-01 estar parado.,atendimento devido af-01 estar parado.,
Realizar inspeções durante o carnaval e Acompanhar reparo na Finos de Coque 4.,realizar inspecoes durante o carnaval e acompanhar reparo na finos de coque 4.,
Acompanhar retorno do AF-01 (CADINHO).,acompanhar retorno do af-01 (cadinho).,
troca do compensator F158,troca do compensator f158,
trocar de doorframe do forno 104,trocar de doorframe do forno 104,
trocar de doorframe do forno 104 lc,trocar de doorframe do forno 104 lc,
forno 26,forno 26,
combrindo efetivo reduzido,combrindo efetivo reduzido,
PENEIRA DE COQUE 04,peneira de coque 04,
ATRASO DE ONIBUS,atraso de onibus,
PENEIRA NRO 06 MONTAGEM DE GRELHA,peneira nro 06 montagem de grelha,
PENEIRA NRO 13,peneira nro 13,
RETIRADA DE MATERIAL DA CTP,retirada de material da ctp,
TROCA DA ANTI CALHA DA PENEIRA NR06,troca da anti calha da peneira nr06,
PENEIRA DE MINERIO06,peneira de minerio06,
TROCA DA ANTI CALHA PENEIRA 04,troca da anti calha peneira 04,
TREMONHA 17,tremonha 17,
PENEIRA DE COQUE NRO01,peneira de coque nro01,
TROCA DA ANTI CALHA NRO04,troca da anti calha nro04,
PENEIRA NRO 06,peneira nro 06,
TROCA TAMBOR DE ACIONAMENTO FM3,troca tambor de acionamento fm3,
TAMBOR 06 CTP,tambor 06 ctp,
ACOPLAMENTO HIDRAILICO MINERIO 1,acoplamento hidrailico minerio 1,
PENEIRA NRO17,peneira nro17,
PENEIRA DE COQUE NRO2,peneira de coque nro2,
troca de mangas na moagem1,troca de mangas na moagem1,
atendimento  elétrico para a equipe da mecânica(troca de manga moagem 01).,atendimento  eletrico para a equipe da mecanica(troca de manga moagem 01).,
atendimento de bloqueio e desbloqueio para a equipe da mecânica.,atendimento de bloqueio e desbloqueio para a equipe da mecanica.,
atendimento  elétrico para a equipe da mecânica.,atendimento  eletrico para a equipe da mecanica.,
atendimento ocorrências Blackout,atendimento ocorrencias blackout,
atendimento Ocorrência Blackout,atendimento ocorrencia blackout,
Presença na RMSA,presenca na rmsa,
Apoio operacional na NR13 da unidade 201,apoio operacional na nr13 da unidade 201,
Apoio operacional para a letra B,apoio operacional para a letra b,
Apoio operacional à letra B,apoio operacional a letra b,
RMSA ICCC letras A e B,rmsa iccc letras a e b,
Apoio para retorno operacional da unidade 401.,apoio para retorno operacional da unidade 401.,
ferias paulo maia,ferias paulo maia,
Retorno AF 02,retorno af 02,
ferias letra D,ferias letra d,
ferias hercules,ferias hercules,
instabilidade AF 02,instabilidade af 02,
CBG,cbg,
Treiamento nr 35,treiamento nr 35,
RMS Letra B \ WORKSHOP,rms letra b \ workshop,
instabilidade,instabilidade,
granalha,granalha,
ferias letra C,ferias letra c,
Refrigeraçao,refrigeracao,
Forno 01,forno 01,
GAT 2024,gat 2024,
Retorno alto forno 1 após blackout,retorno alto forno 1 apos blackout,
ilha AF 3,ilha af 3,
Empregado em férias,empregado em ferias,
atedimento ocorrencias blackout,atedimento ocorrencias blackout,
Empregado em férias.,empregado em ferias.,
Retorno AFO1 e 2,retorno afo1 e 2,
Analisador Moagem 02,analisador moagem 02,
Moagem 2,moagem 2,
Troca Motor Moagem 03,troca motor moagem 03,
Troca de manga Moagem 01,troca de manga moagem 01,
Troca celula de carga PCI 3,troca celula de carga pci 3,
Retorno da moagem 01,retorno da moagem 01,
Retorno Moagem,retorno moagem,
Troca de sinterizado,troca de sinterizado,
Verificação chave de fluxo e troca de sinterizado.,verificacao chave de fluxo e troca de sinterizado.,
Retorno do AFO2,retorno do afo2,
Retorno Moagem 3,retorno moagem 3,
Troca de Manga Moagem 01,troca de manga moagem 01,
retorno moagem 1,retorno moagem 1,
Blackout usina,blackout usina,
Retorno Alto Forno,retorno alto forno,
troca corrente TKF moagem 03,troca corrente tkf moagem 03,
troca corrente TKF moagem 01,troca corrente tkf moagem 01,
Retorno Alto Forno 1,retorno alto forno 1,
Acompanhamento compressor 2,acompanhamento compressor 2,
Verificação da Rota de injeção AFO 2,verificacao da rota de injecao afo 2,
compressor 2 PCI 1,compressor 2 pci 1,
Retorno Moagem 01,retorno moagem 01,
NR 20 BASICO 2  TEÓRICA E PRÁTICA,nr 20 basico 2  teorica e pratica,
ATENDIMENTO OCORRÊNCIAS BLACKOUT,atendimento ocorrencias blackout,
RUD AMARRAÇÃO E MOVIMENTAÇÃO DE CARGAS,rud amarracao e movimentacao de cargas,
FURO CANAL N 01,furo canal n 01,
ferias do operador,ferias do operador,
estabilidade operacional,estabilidade operacional,
Troca do anel  raspador do canhão de lama 01 .,troca do anel  raspador do canhao de lama 01 .,
Rarada AF 02.,rarada af 02.,
Instalar placa de segurança .,instalar placa de seguranca .,
Troca do cabo alciliar e dromo da ponte rolante casa de corrida AF 02.,troca do cabo alciliar e dromo da ponte rolante casa de corrida af 02.,
Transportar as bobinas de cabo eletrico para o fabril do IGFE.,transportar as bobinas de cabo eletrico para o fabril do igfe.,
reposicionar o braço e fazer a troca dos filtros .,reposicionar o braco e fazer a troca dos filtros .,
"troca de 2 cilindros e 1 lamina da tesoura na descarepação,","troca de 2 cilindros e 1 lamina da tesoura na descarepacao,",
Preparação da junta da válvula chaminé.,preparacao da junta da valvula chamine.,
foi feito a movimentação da VAQ.,foi feito a movimentacao da vaq.,
montar o bico reserva do canhãp.,montar o bico reserva do canhap.,
acompnhar a operação da casa de corrida AF 02.,acompnhar a operacao da casa de corrida af 02.,
acompanar a operaçãõ casa de corrida AF 02.,acompanar a operacao casa de corrida af 02.,
troca do braço do canhão de lama 01.,troca do braco do canhao de lama 01.,
troca da carriagem.,troca da carriagem.,
hora extra não registrada no mês 07.,hora extra nao registrada no mes 07.,
troca de malaha peneira de minerio carregamento AF02.,troca de malaha peneira de minerio carregamento af02.,
Instalar ventiladores no CBG 1\2 casa de corrida AF 02.,instalar ventiladores no cbg 1\2 casa de corrida af 02.,
