Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Analise de Ecoline e Crosswall de pressao,analise de ecoline e crosswall de pressao,,Manutenção/Inspeção/Teste de Máquina
Atividade Extra Bateria 3,atividade extra bateria 3,,Parada de Máquina
Purga Bateria 3,purga bateria 3,,Parada de Máquina
Crosswall Extra Bateria 4,crosswall extra bateria 4,,Parada de Máquina
"AJUSTE BATERIAS 02,03,04 QUEIMANDO COG","ajuste baterias 02,03,04 queimando cog",,Manutenção/Inspeção/Teste de Máquina
Analise de processo e ajuste de tb das baterias,analise de processo e ajuste de tb das baterias,,Manutenção/Inspeção/Teste de Máquina
Movimento troca de escala,movimento troca de escala,,Substituição de Colaborador
Apoio a Visita do orgao ambiental,apoio a visita do orgao ambiental,,Outros Eventos Externos
Crosswall de pressão Bateria 4,crosswall de pressao bateria 4,,Parada de Máquina
Descomissionamento Bateria 1,descomissionamento bateria 1,,Manutenção/Inspeção/Teste de Máquina
Cross Diagnose bat.01 e 02 e atividades Extras bat. 04 (Comb. COG).,cross diagnose bat.01 e 02 e atividades extras bat. 04 (comb. cog).,,Manutenção/Inspeção/Teste de Máquina
Atividades extras e ajustes bateria 4.,atividades extras e ajustes bateria 4.,,Manutenção/Inspeção/Teste de Máquina
Atividades Extras e Ajustes Bateria 04.,atividades extras e ajustes bateria 04.,,Manutenção/Inspeção/Teste de Máquina
Atividades extras e ajustes 04.,atividades extras e ajustes 04.,,Não Classificado
Comb. COG bat.4 Para Análises e Ajustes,comb. cog bat.4 para analises e ajustes,,Manutenção/Inspeção/Teste de Máquina
Cobrindo férias Letra A,cobrindo ferias letra a,,Substituição de Colaborador
Cobrindo férias Letra A e abafamento bateria 04 troca cilindro C4.,cobrindo ferias letra a e abafamento bateria 04 troca cilindro c4.,,Substituição de Colaborador
CrosWall Campanha Bateria 03.,croswall campanha bateria 03.,,Não Classificado
"Combustção COG bateria 04, Ajustes e análises.","combustcao cog bateria 04, ajustes e analises.",,Manutenção/Inspeção/Teste de Máquina
Cobrindo férias Letra A.,cobrindo ferias letra a.,,Substituição de Colaborador
Soprar canal Soleflue bateria 03.,soprar canal soleflue bateria 03.,,Manutenção/Inspeção/Teste de Máquina
Cobrindo férias Ltra A e ajuste placa  orificio COG bateria 4.,cobrindo ferias ltra a e ajuste placa  orificio cog bateria 4.,,Substituição de Colaborador
Cobrindo Férias Lt. A,cobrindo ferias lt. a,,Substituição de Colaborador
CrossWall Bateria 04 e Apoio à Rotinas.,crosswall bateria 04 e apoio a rotinas.,,Manutenção/Inspeção/Teste de Máquina
Atividades extras e ajustes 04 (Comb. COG).,atividades extras e ajustes 04 (comb. cog).,,Não Classificado
Cobrindo férias Lt.C,cobrindo ferias lt.c,,Substituição de Colaborador
Atividades extras e ajustes B.4 (Comb. COQ cancelado) - Atividades rotina.,atividades extras e ajustes b.4 (comb. coq cancelado) - atividades rotina.,,Não Classificado
Cobrindo férias Lt. C,cobrindo ferias lt. c,,Substituição de Colaborador
Atividades extras e ajustes 04..,atividades extras e ajustes 04..,,Não Classificado
Cobrindo férias Lt. C.,cobrindo ferias lt. c.,,Substituição de Colaborador
Atividades extras e ajustes 04. R.:28.03,atividades extras e ajustes 04. r.:28.03,,Não Classificado
Atividades extras e ajustes 04. - 05.04,atividades extras e ajustes 04. - 05.04,,Não Classificado
Cobrindo férias Lt.D. 12.04,cobrindo ferias lt.d. 12.04,,Substituição de Colaborador
Cobrindo férias Lt.C. 27.4,cobrindo ferias lt.c. 27.4,,Substituição de Colaborador
Atividades extras e ajustes 04. - Limp. Tubo Canhão,atividades extras e ajustes 04. - limp. tubo canhao,,Não Classificado
Apoio Letra C.,apoio letra c.,,Não Classificado
Apoio Lt.C.,apoio lt.c.,,Não Classificado
Apoio Lt.C,apoio lt.c,,Não Classificado
Cobrindo férias Lt.D.,cobrindo ferias lt.d.,,Substituição de Colaborador
Cobrindo férias Lt.A,cobrindo ferias lt.a,,Substituição de Colaborador
Atividades Extras B.4 - Ajustes combustão COG.,atividades extras b.4 - ajustes combustao cog.,,Manutenção/Inspeção/Teste de Máquina
Apoio Lt.D.,apoio lt.d.,,Não Classificado
Apoio bateria 04 - Combustão COG.,apoio bateria 04 - combustao cog.,,Manutenção/Inspeção/Teste de Máquina
Apoio Lt.D / ADM Bateria 04.,apoio lt.d / adm bateria 04.,,Não Classificado
CrossWal Presão e temperatura Bateria 04.,crosswal presao e temperatura bateria 04.,,Manutenção/Inspeção/Teste de Máquina
CrossWall Diagnose Bateria 03.,crosswall diagnose bateria 03.,,Manutenção/Inspeção/Teste de Máquina
Troca do rolamento da bomba PC8202B,troca do rolamento da bomba pc8202b,,Manutenção/Inspeção/Teste de Máquina
Troca da junta de expação de óleo e troca do filtro de óleo do EX1201C,troca da junta de expacao de oleo e troca do filtro de oleo do ex1201c,,Manutenção/Inspeção/Teste de Máquina
Troca do motor da PC8202B,troca do motor da pc8202b,,Manutenção/Inspeção/Teste de Máquina
"Troca do rotor da PC0101E, torca do acoplamento da PC1505A, troca do motor da PC1505B.","troca do rotor da pc0101e, torca do acoplamento da pc1505a, troca do motor da pc1505b.",,Manutenção/Inspeção/Teste de Máquina
Atendimento prontidão - Vazamanto na tubulação de incêndio,atendimento prontidao - vazamanto na tubulacao de incendio,,Manutenção/Inspeção/Teste de Máquina
Atendimento prontidão - Quebra do cabo de aço e subir bag de sulfato na ETB.,atendimento prontidao - quebra do cabo de aco e subir bag de sulfato na etb.,,Parada de Máquina
Acompanhar a equipe da civil para quebrar a base de concreto do CD1.,acompanhar a equipe da civil para quebrar a base de concreto do cd1.,,Outros Eventos Externos
Acompanhar a equipe da civil fixar a base de concreto do CD1.,acompanhar a equipe da civil fixar a base de concreto do cd1.,,Não Classificado
"Atendimento Prontidão na CK1 e C5608, chedada na área às 12:20 horas","atendimento prontidao na ck1 e c5608, chedada na area as 12:20 horas",,Manutenção/Inspeção/Teste de Máquina
"Atendimento Prontidão quebra do acoplamento da PC0107B, chegada na área às 10:50 horas.","atendimento prontidao quebra do acoplamento da pc0107b, chegada na area as 10:50 horas.",,Parada de Máquina
"Troca da válvula de 16"" do TK0501A","troca da valvula de 16"" do tk0501a",,Manutenção/Inspeção/Teste de Máquina
"Atendimento Prontidão, troca do acoplamento da PC0501F","atendimento prontidao, troca do acoplamento da pc0501f",,Manutenção/Inspeção/Teste de Máquina
Atendimento do prontidão na SR205 e o Precipitador ES0903,atendimento do prontidao na sr205 e o precipitador es0903,,Manutenção/Inspeção/Teste de Máquina
Mudança de horário para atende o Claus.,mudanca de horario para atende o claus.,,Substituição de Colaborador
Mudança de horário para atendimento no Claus.,mudanca de horario para atendimento no claus.,,Não Classificado
"Obra de reforma do Claus, montagem do quimador.","obra de reforma do claus, montagem do quimador.",,Manutenção/Inspeção/Teste de Máquina
Atendimento nas atividades de reoaro do Claus.,atendimento nas atividades de reoaro do claus.,,Manutenção/Inspeção/Teste de Máquina
"Atender atividades no TK02 e a obra do Claus, tentativa de reamar o Claus","atender atividades no tk02 e a obra do claus, tentativa de reamar o claus",,Manutenção/Inspeção/Teste de Máquina
"Tentativa de reparo da tubulação de água do mar, área 82.","tentativa de reparo da tubulacao de agua do mar, area 82.",,Manutenção/Inspeção/Teste de Máquina
acompanhamento de manobra para subir parte curva (compensator 158),acompanhamento de manobra para subir parte curva (compensator 158),,Manutenção/Inspeção/Teste de Máquina
Realizada DDS AMT FPS 07 / PIT STOP (acidente ocorrido na noite anterior) e acompanhamento forno 69,realizada dds amt fps 07 / pit stop (acidente ocorrido na noite anterior) e acompanhamento forno 69,,Parada de Máquina
acompanhamento das atividades de rotina do prontidão de Corpus Christi,acompanhamento das atividades de rotina do prontidao de corpus christi,,Outros Eventos Externos
Auxílio na logística de separação dos materiais metálicos novos e usados (materiais do G1),auxilio na logistica de separacao dos materiais metalicos novos e usados (materiais do g1),,Outros Eventos Externos
BC211 Rasgo da correia - RE1201 Operação assistida - RE1202 Quebra da concha - Prontidão;,bc211 rasgo da correia - re1201 operacao assistida - re1202 quebra da concha - prontidao;,,Parada de Máquina
Acompanhamento das atividades na RE1201,acompanhamento das atividades na re1201,,Manutenção/Inspeção/Teste de Máquina
Plano estabilização Patio de carvão - Reforço estrutural na torres de esticamento C-5604,plano estabilizacao patio de carvao - reforco estrutural na torres de esticamento c-5604,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento das atividades na BC211,acompanhamento das atividades na bc211,,Não Classificado
Queima do motor BC211,queima do motor bc211,,Parada de Máquina
Avaliação estrutural da RE1201,avaliacao estrutural da re1201,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento normalização estrutural da RE1201,acompanhamento normalizacao estrutural da re1201,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento execução  estrutural da RE1201,acompanhamento execucao  estrutural da re1201,,Manutenção/Inspeção/Teste de Máquina
PREPARAÇÃO PARA TROCA DO TRUCK RE1202,preparacao para troca do truck re1202,,Manutenção/Inspeção/Teste de Máquina
"TROCA DA CORREIA C5611, TROCA DO TRUCK RE1202","troca da correia c5611, troca do truck re1202",,Manutenção/Inspeção/Teste de Máquina
C-5613A TROCA DO CABO DE AÇO DO CONTRA PESO,c-5613a troca do cabo de aco do contra peso,,Manutenção/Inspeção/Teste de Máquina
C5604 Troca do rolamento.,c5604 troca do rolamento.,,Manutenção/Inspeção/Teste de Máquina
Rasgoda correia Bc332A,rasgoda correia bc332a,,Parada de Máquina
Troca da correia BC332A,troca da correia bc332a,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO RETORNO DO RECEBIMENTO.,acompanhamento retorno do recebimento.,,Não Classificado
CORRETIVA - RE1202 - TROCA DO TRUCK,corretiva - re1202 - troca do truck,,Manutenção/Inspeção/Teste de Máquina
CORRETIVA - C5604 - TROCA DO TAMBOR NA TT3,corretiva - c5604 - troca do tambor na tt3,,Manutenção/Inspeção/Teste de Máquina
Normaliação da queda de materiais RE1201,normaliacao da queda de materiais re1201,,Não Classificado
Falha no motor de giro SR205,falha no motor de giro sr205,,Parada de Máquina
Acompanhamento para normalização da ST0802,acompanhamento para normalizacao da st0802,,Manutenção/Inspeção/Teste de Máquina
Troca das lãminas do raspador da CK-5.,troca das laminas do raspador da ck-5.,,Manutenção/Inspeção/Teste de Máquina
Luciano- serviços de rotina de tca.,luciano- servicos de rotina de tca.,,Não Classificado
MGK-22 INSTALAÇÃO DO DISPOSITIVO PARA TROCA  DA BUCHA.,mgk-22 instalacao do dispositivo para troca  da bucha.,,Manutenção/Inspeção/Teste de Máquina
Troca de rolos C5619A.,troca de rolos c5619a.,,Manutenção/Inspeção/Teste de Máquina
troca do mancal do DG-2/  acompanhando o serviço da CSV na ST-08-01.,troca do mancal do dg-2/  acompanhando o servico da csv na st-08-01.,,Manutenção/Inspeção/Teste de Máquina
CSV- troca de rolos na Ck-9 .,csv- troca de rolos na ck-9 .,,Manutenção/Inspeção/Teste de Máquina
Robson/ Reparo na correia CK-203 e CK-5.,robson/ reparo na correia ck-203 e ck-5.,,Manutenção/Inspeção/Teste de Máquina
Robson/ alinhamento da CK-203.,robson/ alinhamento da ck-203.,,Manutenção/Inspeção/Teste de Máquina
Robson/ troca da correia BC-333,robson/ troca da correia bc-333,,Manutenção/Inspeção/Teste de Máquina
Robson/ troca do redutor da CK-5bis.,robson/ troca do redutor da ck-5bis.,,Manutenção/Inspeção/Teste de Máquina
Robson/alinhamento da CK-5bis.,robson/alinhamento da ck-5bis.,,Manutenção/Inspeção/Teste de Máquina
Luciano - Track-5.,luciano - track-5.,,Não Classificado
Luciano -Track-1.,luciano -track-1.,,Não Classificado
atendimento ao reparo do selo hidraulico da qc201,atendimento ao reparo do selo hidraulico da qc201,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A DESOBSTRUÇÃO DA CALDEIRA 301,atendimento a desobstrucao da caldeira 301,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO DA DESOBSTRUÇÃO DA DESCARGA DA QC301,atendimento da desobstrucao da descarga da qc301,,Parada de Máquina
ATENDIMENTO AO ACOMPANHAMENTO DO TH RETORNO DA CALDEIRA 301,atendimento ao acompanhamento do th retorno da caldeira 301,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO REPARO DA TREMONHA DA BC201,atendimento reparo da tremonha da bc201,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A NR13 DA CALDEIRA 501,atendimento a nr13 da caldeira 501,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO NR13 501 E REVISÃO DOS PADRÕES,atendimento nr13 501 e revisao dos padroes,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AOS SERVIÇOS DE ROTINA / ACOMPANHAMENTO 501.,atendimento aos servicos de rotina / acompanhamento 501.,,Manutenção/Inspeção/Teste de Máquina
LIBERAÇÃO DA DESCARGA 501,liberacao da descarga 501,,Não Classificado
TROCA DA CORREIA DO CR3,troca da correia do cr3,,Manutenção/Inspeção/Teste de Máquina
TROCA DO REDUTOR DA CK5 BIS,troca do redutor da ck5 bis,,Manutenção/Inspeção/Teste de Máquina
POSICIONAMENTO DO REDUTOR DA CK5BIS,posicionamento do redutor da ck5bis,,Manutenção/Inspeção/Teste de Máquina
troca da roldana do contra peso da c5619,troca da roldana do contra peso da c5619,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A TROCA DA CORREIA C5620A TROCA DO CONTRA PESO CK203,atendimento a troca da correia c5620a troca do contra peso ck203,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO A TROCA DA CORREIA C5620A TROCA DO CONTRA PESO CK203 /,atendimento a troca da correia c5620a troca do contra peso ck203 /,,Manutenção/Inspeção/Teste de Máquina
TROCA DA CORREIA BC333,troca da correia bc333,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO NA REALIZAÇÃO DO ALINHAMENTO CK8,acompanhamento na realizacao do alinhamento ck8,,Manutenção/Inspeção/Teste de Máquina
TROCA DA CORREIA BC332B,troca da correia bc332b,,Manutenção/Inspeção/Teste de Máquina
TROCA DO BRITADOR 3,troca do britador 3,,Manutenção/Inspeção/Teste de Máquina
PLANTÃO LINHA DO RECEBIMENTO,plantao linha do recebimento,,Substituição de Colaborador
atendimendo do prontidão no tratamento de gás,atendimendo do prontidao no tratamento de gas,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AO PLANTÃO PRESENCIAL DO RECEBIMENTO,atendimento ao plantao presencial do recebimento,,Substituição de Colaborador
TROCA DA CORREIA CK1,troca da correia ck1,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AO PRONTIDÃO (REDUTOR CK6),atendimento ao prontidao (redutor ck6),,Parada de Máquina
acompanhamento da correia C5620A.,acompanhamento da correia c5620a.,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AO PRONTIDÃO - CK21,atendimento ao prontidao - ck21,,Não Classificado
ACOMPANHEMTO A CK21 / ANALISE DE FALHA E INSTALAÇÃO DOS SENSORES DE MONITORAMENTO ONLINE.,acompanhemto a ck21 / analise de falha e instalacao dos sensores de monitoramento online.,,Manutenção/Inspeção/Teste de Máquina
TROCA DO OLEO DO ACOPLAMENTO HIDRAULICO DA CK21,troca do oleo do acoplamento hidraulico da ck21,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO AO BRITADOR 2 (DEFINIÇÃO DE ESTRATEGIA COM A OFICINA CENTRAL),atendimento ao britador 2 (definicao de estrategia com a oficina central),,Manutenção/Inspeção/Teste de Máquina
melhorias na área organização e limpeza,melhorias na area organizacao e limpeza,,Outros Eventos Externos
Preventiva nos perfuradores e canhões de massa dos canal 1 e 2 da casa de corrida do alto forno 2.,preventiva nos perfuradores e canhoes de massa dos canal 1 e 2 da casa de corrida do alto forno 2.,,Manutenção/Inspeção/Teste de Máquina
